pkt_rate,pkt_delay,byte_rate,last_pkt,fid,num_pkt,first_pkt,des_add,pkt_in,duration_1,num_byte,duration_2,pkt_out,pkt_sz,is_broadcast,label
20130.241423125794,4.967650307716585e-05,845470.1397712833,1750303956.004174,8729434329996818763,95055,1750303951.282174,10.0.0.255,95055,4.722,3992310,4.722,95055,42.0,1,smurf
21348.010160880607,4.684277328256386e-05,896616.4267569856,1750303959.058773,8729434329996818763,100848,1750303954.334773,10.0.0.255,100848,4.724,4235616,4.724,100848,42.0,1,smurf
21348.010160880607,4.684277328256386e-05,896616.4267569856,1750303959.997992,8729434329996818763,100848,1750303955.273992,10.0.0.255,100848,4.724,4235616,4.724,100848,42.0,1,smurf
22624.31173231681,4.4200239628575714e-05,950221.0927573062,1750303961.267322,8729434329996818763,106832,1750303956.5453222,10.0.0.255,106832,4.722,4486944,4.722,106832,42.0,1,smurf
23861.228813559323,4.1908990011098775e-05,1002171.6101694916,1750303962.248461,8729434329996818763,112625,1750303957.528461,10.0.0.255,112625,4.72,4730250,4.72,112625,42.0,1,smurf
25083.03325566617,3.986758657962961e-05,1053487.3967379793,1750303962.870801,8729434329996818763,118417,1750303958.149801,10.0.0.255,118417,4.721,4973514,4.721,118417,42.0,1,smurf
14149.691253308,7.067292014348468e-05,594287.032638936,1750303970.545486,8729434329996818763,208524,1750303955.808486,10.0.0.255,208524,14.737,8758008,14.737,208524,42.0,1,smurf
15553.527815468115,6.429409532450199e-05,653248.1682496608,1750303972.163673,8729434329996818763,229259,1750303957.423673,10.0.0.255,229259,14.74,9628878,14.74,229259,42.0,1,smurf
16990.160819705503,5.885759473448783e-05,713586.7544276312,1750303973.554912,8729434329996818763,250384,1750303958.817912,10.0.0.255,250384,14.737,10516128,14.737,250384,42.0,1,smurf
18396.051024562355,5.4359492625064086e-05,772634.143031619,1750303974.619418,8729434329996818763,271121,1750303959.881418,10.0.0.255,271121,14.738,11387082,14.738,271121,42.0,1,smurf
19801.61476355248,5.050093196644921e-05,831667.8200692041,1750303975.410912,8729434329996818763,291856,1750303960.671912,10.0.0.255,291856,14.739,12257952,14.739,291856,42.0,1,smurf
14553.207821590175,6.871337317924273e-05,611234.7285067873,1750303981.879625,8729434329996818763,360221,1750303957.127625,10.0.0.255,360221,24.752,15129282,24.752,360221,42.0,1,smurf
15930.629065492303,6.277216021344208e-05,669086.4207506767,1750303983.459999,8729434329996818763,394299,1750303958.7089992,10.0.0.255,394299,24.751,16560558,24.751,394299,42.0,1,smurf
17331.56916612799,5.769818014830148e-05,727925.9049773756,1750303984.513013,8729434329996818763,428991,1750303959.7610128,10.0.0.255,428991,24.752,18017622,24.752,428991,42.0,1,smurf
18710.222222222223,5.344671955912395e-05,785829.3333333334,1750303984.971192,8729434329996818763,463078,1750303960.221192,10.0.0.255,463078,24.75,19449276,24.75,463078,42.0,1,smurf
20086.501555492705,4.9784677398267365e-05,843633.0653306936,1750303985.488354,8729434329996818763,497161,1750303960.737354,10.0.0.255,497161,24.751,20880762,24.751,497161,42.0,1,smurf
14144.242389365254,7.07001458594826e-05,594058.1803533407,1750303991.895316,8729434329996818763,491569,1750303957.141316,10.0.0.255,491569,34.754,20645898,34.754,491569,42.0,1,smurf
15544.599182827877,6.433102508713768e-05,652873.1656787709,1750303995.423074,8729434329996818763,540237,1750303960.669074,10.0.0.255,540237,34.754,22689954,34.754,540237,42.0,1,smurf
16962.30649709386,5.8954246592073385e-05,712416.8728779422,1750303997.226253,8729434329996818763,589508,1750303962.472253,10.0.0.255,589508,34.754,24759336,34.754,589508,42.0,1,smurf
